# JPL Horizons reference snapshot.
# Source: NASA/JPL Horizons API, DE441, geocentric ecliptic J2000 vector tables.
# Coverage: selected bodies sampled at 1500-01-01 for Sun, Moon, Mercury, Venus; selected bodies sampled at 1600-01-11 for Sun, Moon, Mercury, Venus, Mars, Jupiter, Uranus, Neptune; major bodies sampled at 1749-12-31 for Sun through Neptune; selected bodies sampled at 1750-01-01 for Sun, Moon, Mercury, Venus, Mars, Jupiter, Saturn, Uranus, Neptune; inner planets sampled across 1800-2500; major bodies sampled at 1800-01-03 for Sun through Pluto; selected bodies sampled at 1900-01-01 for Sun, Moon, Mercury, Venus; major bodies sampled at 2400000, 2451545, 2451910.5, 2451911.5, 2451912.5, 2451913.5, 2451914.0, 2451914.5, 2451915.0, 2451915.5, 2451916.0, 2451916.5, 2451917.0, 2451917.5, 2451918.5, 2451919.5, 2451920.5, 2453000.5, and 2500000; major bodies sampled at 2451915.5 for Sun through Pluto; Mars sampled at 2600000 and 2634167 for outer boundary coverage; major bodies sampled at 2451913.5 through 2451917.5 for additional boundary coverage; selected asteroids sampled at J2000, 2378498.5, 2451910.5 through 2451919.5, with 2451914.0, 2451914.5, 2451915.0, 2451915.5, 2451918.5, and 2451919.5 boundary coverage, 1800-01-03, 2003-12-27, 2132-08-31, 2500-01-01, and 2634167.
# Columns: epoch_jd,body,x_km,y_km,z_km
2451915.000000000,Vesta,3.762799466637368E+08,-2.313068567571033E+08,-3.832327011754280E+07
2451915.000000000,asteroid:433-Eros,2.678444361799357E+08,-1.287096555513920E+08,3.760822460441156E+07
2451915.000000000,asteroid:99942-Apophis,4.591746675914950E+02,1.376571022485872E+08,-6.011766135885575E+00
2451915.500000000,Sun,3.986624671374413E+07,-1.415933864339878E+08,1.139600456506014E+01
2451915.500000000,Moon,2.235232845068692E+05,2.979390571607541E+05,-2.738357031680201E+04
2451915.500000000,Mercury,7.903489997418183E+07,-1.912832195645995E+08,-7.654187422130436E+06
2451915.500000000,Venus,1.020455786588257E+08,-5.327398533156325E+07,-2.381869247813694E+06
2451915.500000000,Mars,-2.056111622748065E+08,-1.597564513621352E+08,5.653072159304895E+06
2451915.500000000,Jupiter,3.032988675038466E+08,5.660086291129872E+08,-8.835335127726316E+06
2451915.500000000,Saturn,7.370386437256268E+08,1.028896167392513E+09,-4.809149915208149E+07
2451915.500000000,Uranus,2.341532542318892E+09,-2.043027039140267E+09,-3.690346674227107E+07
2451915.500000000,Neptune,2.695882297900508E+09,-3.779151277618916E+09,1.370599839985037E+07
2451915.500000000,Pluto,-1.268632138671669E+09,-4.406402015321118E+09,8.351110647481784E+08
2451915.500000000,Ceres,-1.075194194028290E+08,-5.281162862141828E+08,1.522814447570431E+07
2451915.500000000,Pallas,-2.558739575196886E+08,-3.593160014765430E+08,1.748803968633127E+08
2451915.500000000,Juno,3.679660086465690E+08,-1.459249255110673E+08,-1.192028064988170E+07
2451915.500000000,Vesta,3.778210733488874E+08,-2.301671485822880E+08,-3.838117687123157E+07
2451915.500000000,asteroid:433-Eros,2.688225130909057E+08,-1.274067927516561E+08,3.766682881659126E+07
2451915.500000000,asteroid:99942-Apophis,4.583076418616408E+02,1.373971744738850E+08,-6.021841079775848E+00
2451916.000000000,Sun,4.112389937137505E+07,-1.412340933449221E+08,4.611484551429749E+01
2451916.000000000,Moon,1.840278165755961E+05,3.205390581778151E+05,-2.441272794348978E+04
2451916.000000000,Mercury,8.150732613266504E+07,-1.894956086511031E+08,-7.648968660768241E+06
2451916.000000000,Venus,1.020553751309033E+08,-5.205906731272832E+07,-2.298113294418469E+06
