# Source: Swiss Ephemeris (libswisseph-sys 0.1.2), swe_calc, iflag=SEFLG_MOSEPH|SEFLG_EQUATORIAL.
# Frame: apparent equatorial of date (nutation + aberration on). Columns: jd_tt,body,ra_deg,dec_deg.
# Convention-parity reference (Moshier); ceilings are deliberately loose vs the Horizons accuracy gate.
jd_tt,body,se_ra_deg,se_dec_deg
2469813.0,Moon,88.808658873,20.901682637
2469813.0,Mercury,267.153612217,-20.388989351
2469813.0,Venus,289.794729626,-22.990054137
2469813.0,Mars,228.980821601,-17.350523838
2469813.0,Jupiter,123.347507433,20.386361491
2469813.0,Saturn,300.362354832,-20.717223359
2469813.0,Uranus,171.754253614,4.416600592
2469813.0,Neptune,51.589844884,16.942835877
2469813.0,Pluto,344.309184916,-20.421560863
2471639.2,Sun,287.767688037,-22.425638034
2471639.2,Moon,23.014938030,4.603228589
2471639.2,Mercury,308.221821166,-19.619489735
2471639.2,Venus,310.042411024,-19.964911893
2471639.2,Mars,78.546700412,26.305802886
2471639.2,Jupiter,263.212184882,-22.876660216
2471639.2,Saturn,353.404322012,-5.174463484
2471639.2,Uranus,193.722580024,-5.122650927
2471639.2,Neptune,63.308180550,19.481539943
2471639.2,Pluto,350.749570236,-19.062358124
2473465.5,Sun,287.805468918,-22.424276908
2473465.5,Moon,333.566684047,-16.175462189
2473465.5,Mercury,292.927377356,-23.849529004
2473465.5,Venus,327.478531104,-14.963373563
2473465.5,Mars,309.101261968,-19.757930825
2473465.5,Jupiter,48.770889786,17.046600885
2473465.5,Saturn,55.118370305,17.387761145
2473465.5,Uranus,215.485892014,-13.613474195
2473465.5,Neptune,75.402403071,21.257436016
2473465.5,Pluto,356.809650995,-17.555761959
2475291.8,Sun,287.854266952,-22.417945604
2475291.8,Moon,280.363464592,-25.493515192
2475291.8,Mercury,272.570316796,-23.908678841
2475291.8,Venus,335.644306266,-10.848221807
2475291.8,Mars,223.312964544,-15.555027849
2475291.8,Jupiter,214.923711004,-12.673727053
2475291.8,Saturn,134.814723829,17.846355121
2475291.8,Uranus,237.649956517,-19.889866518
2475291.8,Neptune,87.757188264,22.151006836
2475291.8,Pluto,2.492960467,-15.957220346
2477118.0,Sun,287.884883706,-22.410059642
2477118.0,Moon,218.153447584,-14.197552084
2477118.0,Mercury,264.022984198,-20.786332605
2477118.0,Venus,267.421926404,-18.337713000
2477118.0,Mars,58.466017593,22.830834132
2477118.0,Jupiter,349.816819623,-5.659261363
2477118.0,Saturn,198.550386364,-5.213792259
2477118.0,Uranus,260.132179987,-23.186621674
2477118.0,Neptune,100.140141676,22.106461393
2477118.0,Pluto,7.865436112,-14.281144858
2478944.2,Sun,287.922038673,-22.406160311
2478944.2,Moon,158.565908410,12.800647017
2478944.2,Mercury,306.690402617,-19.097839598
2478944.2,Venus,239.060862325,-17.327068509
2478944.2,Mars,302.709975681,-21.147583168
2478944.2,Jupiter,166.185965453,7.191614196
2478944.2,Saturn,252.551847409,-20.863188846
2478944.2,Uranus,282.187527361,-23.285685622
2478944.2,Neptune,112.438083093,21.139165216
2478944.2,Pluto,12.974145442,-12.559878178
2480770.5,Sun,287.966544345,-22.403871348
2480770.5,Moon,107.463916068,27.488555225
2480770.5,Mercury,296.692275284,-23.335817382
2480770.5,Venus,252.888217468,-21.057249386
2480770.5,Mars,217.592140737,-13.543703728
2480770.5,Jupiter,298.538918521,-21.169521250
2480770.5,Saturn,306.583147275,-19.655441082
2480770.5,Uranus,303.158485247,-20.495426549
2480770.5,Neptune,124.448339276,19.312009540
2480770.5,Pluto,17.858607281,-10.798149742
2482596.8,Sun,288.014240955,-22.395818071
2482596.8,Moon,51.411703809,22.673796776
2482596.8,Mercury,275.929647923,-24.193650267
2482596.8,Venus,272.532179635,-23.285659256
2482596.8,Mars,42.305328046,18.067076184
2482596.8,Jupiter,100.626551286,23.060885361
2482596.8,Saturn,359.640276104,-2.631052383
2482596.8,Uranus,322.677993320,-15.442701602
2482596.8,Neptune,136.084158492,16.729835706
2482596.8,Pluto,22.583339460,-9.007064543
2484423.0,Sun,288.050402335,-22.388218901
2484423.0,Moon,349.021123716,-3.344640863
2484423.0,Mercury,263.210075223,-21.317761999
2484423.0,Venus,293.458516552,-22.634819686
2484423.0,Mars,296.353432994,-22.258605219
2484423.0,Jupiter,247.974097569,-21.168968073
2484423.0,Saturn,63.544810399,19.244402568
2484423.0,Uranus,340.952344869,-8.857728981
2484423.0,Neptune,147.315769904,13.533283590
2484423.0,Pluto,27.131236832,-7.216419787
2486249.2,Sun,288.076506839,-22.387298861
2486249.2,Moon,293.378894570,-23.766885289
2486249.2,Mercury,301.819681515,-19.037269073
2486249.2,Venus,313.396272526,-19.173954202
2486249.2,Mars,211.793909499,-11.314530201
2486249.2,Jupiter,28.740693211,10.485302379
2486249.2,Saturn,143.209807437,15.653587818
2486249.2,Uranus,358.687842454,-1.365478337
2486249.2,Neptune,158.122686296,9.892481670
2486249.2,Pluto,31.572752570,-5.407501346
