# Source: Swiss Ephemeris 2.10.03 (libswisseph-sys 0.1.2), swe_nod_aps, iflag=772 (SEFLG_MOSEPH|SEFLG_SPEED|SEFLG_NOGDEFL); method=4 rows only use iflag=770 (SEFLG_SWIEPH|SEFLG_SPEED|SEFLG_NOGDEFL, DE431-derived sepl_18.se1/semo_18.se1, SHA-256 pinned in the generator) because Moshier cannot produce barycentric positions.
# Nodes/apsides for the classical planets (SE 0-9; mean set drops Pluto). method bit flags: 1=mean, 2=osculating, 4=osculating-barycentric; fopoint=1 means SE_NODBIT_FOPOINT was OR'd onto method (aphelion point replaced by the orbit's focal point). Small bodies (SE 15-20) and fictitious bodies (SE 40-58) are OUT OF SCOPE (offline backend chain cannot serve small bodies; this SE build's swe_nod_aps does not implement fictitious bodies). Times are TT (Terrestrial Time) Julian days.
label,se_body,method,fopoint,jd_tt,asc_lon,asc_lat,asc_dist,asc_dlon,asc_dlat,asc_ddist,dsc_lon,dsc_lat,dsc_dist,dsc_dlon,dsc_dlat,dsc_ddist,peri_lon,peri_lat,peri_dist,peri_dlon,peri_dlat,peri_ddist,apo_lon,apo_lat,apo_dist,apo_dlon,apo_dlat,apo_ddist
Mars,4,1,0,2466154.500000000,7.930634206,0.000062208,1.132155121,0.035179429,0.000022264,0.017470934,248.990705092,0.000030436,2.308241974,0.371254567,-0.000000091,-0.009058438,313.652090204,-1.169291216,2.089996843,0.385887462,-1.163910817,0.009296334,192.942689853,2.115438439,1.393435844,0.072993273,2.141262830,-0.016835894
Mars,4,1,0,2477476.500000000,8.121578597,0.000151497,1.118207538,0.024578412,0.000007597,0.017490233,248.945498160,0.000073101,2.316008267,0.372092876,0.000005151,-0.008941292,313.790461789,-1.172946370,2.079430720,0.384858132,-1.167467785,0.009478706,193.477389162,2.083059744,1.412515349,0.084853888,2.108078405,-0.016858473
Mars,4,1,0,2488021.500000000,47.048666378,-0.000124433,0.480329552,-2.063958937,-0.000030880,0.001707524,230.943772004,-0.000023451,2.543740323,0.391521872,0.000007909,-0.000521063,297.251865091,-1.666632162,1.461112604,0.259479621,-1.648340343,0.015940843,184.054423135,1.359892803,2.159482768,0.323600470,1.368082457,-0.013239592
Jupiter,5,1,0,2415100.500000000,88.359615791,0.000009809,5.124163739,0.005349450,-0.000002672,0.017249253,289.883502670,0.000009221,5.442528439,0.062005121,0.000016039,-0.016220443,10.753150955,-1.090902283,5.930109350,0.162978652,-1.090331019,0.002816450,195.340759079,1.589559987,4.483332088,-0.210985411,1.591097068,-0.003961244
Jupiter,5,1,0,2433282.500000000,99.945525488,-0.000005874,4.191561014,-0.238978614,-0.000003423,0.000028269,279.956439217,-0.000004021,6.189351743,0.161937359,0.000012752,-0.000017891,2.174397710,-1.293885757,4.987961960,0.021732625,-1.289371746,0.017349312,203.617008152,1.269161502,5.601386311,0.047180788,1.273020007,-0.017023087
Jupiter,5,1,0,2441683.500000000,100.141148254,-0.000037451,4.190911254,-0.239164372,-0.000002074,0.000091954,280.226970109,-0.000025405,6.189974556,0.162018932,0.000012555,-0.000058665,2.551308172,-1.292221759,4.988699277,0.021852169,-1.287684682,0.017358502,203.995578666,1.267922167,5.600681130,0.047123336,1.271804124,-0.017035044
Jupiter,5,1,0,2451545.000000000,100.486687564,0.000054361,4.190122390,-0.239199970,-0.000007064,-0.000032813,280.441023619,0.000036805,6.190725014,0.161949983,0.000004644,0.000025947,2.964226859,-1.292609966,4.980081408,0.020211875,-1.288142706,0.017379291,204.401797765,1.264456323,5.609148425,0.048419296,1.268238497,-0.017002223
Jupiter,5,1,0,2459000.500000000,95.775804447,0.000032651,6.067212412,0.143616925,0.000006678,0.007517431,287.470743322,0.000045367,4.366366090,-0.175425401,-0.000005727,-0.010439249,23.238448013,-1.150391110,5.588902633,0.124219816,-1.152956597,-0.012510152,184.953410326,1.431805939,4.949744077,-0.089919235,1.427294326,0.015635874
Jupiter,5,1,0,2466154.500000000,101.040110237,0.000016708,4.189140837,-0.239057095,0.000017258,-0.000258221,280.750593493,0.000011258,6.191684139,0.161846438,-0.000007425,0.000176928,3.587907031,-1.293879179,4.965160654,0.017469578,-1.289349305,0.017406334,205.008364963,1.258743098,5.623710478,0.050642534,1.262509341,-0.016938859
Jupiter,5,1,0,2477476.500000000,101.563559844,0.000040394,4.188541199,-0.239156715,0.000002668,-0.000575873,280.936470042,0.000027302,6.192359403,0.161904029,0.000001862,0.000391535,4.070001822,-1.296498822,4.947147212,0.014038447,-1.291954293,0.017459765,205.466546895,1.252975085,5.641231095,0.053390714,1.256683114,-0.016880452
Jupiter,5,1,0,2488021.500000000,110.931518783,-0.000012968,4.590962389,-0.114028099,-0.000016351,-0.014788927,274.145185204,-0.000010079,5.900265910,0.126530915,0.000013442,0.011521496,7.967002127,-1.528798007,4.189318357,-0.173815024,-1.524253107,0.012706799,201.249978849,1.123326555,6.283466633,0.137789538,1.124975329,-0.009409096
Saturn,6,1,0,2415100.500000000,106.716227563,0.000005668,8.733071842,-0.032689754,-0.000005215,0.016519821,297.866361368,0.000004696,10.458691916,0.044348715,0.000012216,-0.015241703,84.812966925,-0.915904707,9.072805687,0.008134744,-0.914178693,0.017185852,276.761929836,0.916207024,10.141024706,0.013139005,0.917761376,-0.017130997
Saturn,6,1,0,2433282.500000000,114.821682872,-0.000003104,8.100966727,-0.119518462,-0.000005387,-0.004468799,292.050129856,-0.000002320,11.006529822,0.089076469,0.000010586,0.003654468,91.133936110,-1.007098742,8.050277209,-0.123166076,-1.006750468,0.002968069,272.788332248,0.819331766,11.061533668,0.090109216,0.819511468,-0.002409577
Saturn,6,1,0,2441683.500000000,115.002829905,-0.000019450,8.099930684,-0.119732563,-0.000004460,-0.004405761,292.276924301,-0.000014353,11.007584092,0.089179331,0.000010199,0.003603851,91.594036270,-0.995418371,8.050929245,-0.123246277,-0.995058917,0.002946682,273.242968777,0.809788990,11.060869231,0.090173918,0.809977162,-0.002390553
Saturn,6,1,0,2451545.000000000,115.265914744,0.000028133,8.101154621,-0.119541478,-0.000005874,-0.004501370,292.479426366,0.000020717,11.006823717,0.089058799,0.000004742,0.003682574,92.186627426,-0.981791179,8.050277780,-0.123446330,-0.981510010,0.002741432,273.712541423,0.798537006,11.061242121,0.090217425,0.798670561,-0.002223120
Saturn,6,1,0,2459000.500000000,109.732194943,0.000020188,9.811680321,0.075577700,0.000006268,0.010967775,298.152809346,0.000021199,9.342556000,-0.068659706,-0.000005495,-0.012742433,91.143801406,-0.784920166,9.963432852,0.090200756,-0.784442797,0.006077642,275.999572089,0.953606475,9.163471324,-0.094223776,0.954357003,-0.007343467
Saturn,6,1,0,2466154.500000000,115.682038487,0.000008568,8.103697172,-0.119063310,0.000013512,-0.004675714,292.780790128,0.000006273,11.005073452,0.088880953,-0.000008453,0.003825313,93.092283520,-0.961640384,8.049342929,-0.123631866,-0.961364888,0.002400159,274.409344200,0.781776429,11.061753142,0.090312526,0.781887529,-0.001946244
Saturn,6,1,0,2477476.500000000,116.054346994,0.000020837,8.107446453,-0.118567152,0.000001397,-0.004939963,292.987199243,0.000015338,11.002276354,0.088701886,0.000001070,0.004043134,93.846131267,-0.946023379,8.048044396,-0.124010413,-0.945823290,0.002008717,274.921843808,0.768751372,11.062638718,0.090487292,0.768839929,-0.001628292
