kind,type,greatest_eclipse_jd_tt,magnitude,saros,eclipsed_longitude_deg
solar,annular,2453646.93943,0.9576,134,190.31439
lunar,partial,2453661.00309,0.0625,146,24.21700
lunar,penumbral,2453809.49206,1.0300,113,174.25360
solar,total,2453823.92527,1.0515,139,8.58116
lunar,partial,2453986.28640,0.1837,118,345.00829
solar,annular,2454000.98699,0.9352,144,179.33175
lunar,total,2454163.47360,1.2328,123,162.99855
solar,partial,2454178.60622,0.8756,149,358.11092
lunar,total,2454340.94337,1.4758,128,334.76100
solar,partial,2454355.02250,0.7507,154,168.40236
solar,annular,2454503.66400,0.9650,121,317.74307
lunar,total,2454517.64385,1.1062,133,151.87341
solar,total,2454679.93208,1.0394,126,129.53601
lunar,partial,2454695.38278,0.8076,138,324.35224
solar,annular,2454857.83316,0.9282,131,306.49996
lunar,penumbral,2454872.11067,0.8994,143,140.98569
lunar,penumbral,2455019.90258,0.1562,110,285.41376
solar,total,2455034.60862,1.0799,136,119.44253
lunar,penumbral,2455049.52799,0.4019,148,313.70836
lunar,partial,2455197.30817,0.0763,115,100.25494
solar,annular,2455211.79698,0.9190,141,295.01988
lunar,partial,2455373.98581,0.5368,120,274.77523
solar,total,2455389.31572,1.0580,146,109.39252
lunar,total,2455551.84588,1.2561,125,89.34858
solar,partial,2455565.86924,0.8576,151,283.63762
solar,partial,2455714.38701,0.6010,118,71.04027
lunar,total,2455728.34286,1.6999,130,264.39057
solar,partial,2455743.86076,0.0971,156,99.19623
solar,partial,2455890.76486,0.9047,123,242.62091
lunar,total,2455906.10620,1.1061,135,78.17515
solar,annular,2456068.49576,0.9439,128,60.34574
lunar,partial,2456082.96134,0.3704,140,254.22731
solar,total,2456245.42564,1.0500,133,231.94458
lunar,penumbral,2456260.10703,0.9155,145,66.77200
lunar,partial,2456408.33933,0.0148,112,215.76935
solar,annular,2456422.51829,0.9544,138,49.52187
lunar,penumbral,2456437.67437,0.0157,150,244.12489
lunar,penumbral,2456584.49404,0.7649,117,25.76156
solar,hybrid,2456600.03306,1.0159,143,221.26165
lunar,total,2456762.82417,1.2907,122,205.26845
solar,annular,2456776.75316,0.9868,148,38.85556
lunar,total,2456938.95537,1.1659,127,15.08709
solar,partial,2456954.40670,0.8114,153,210.40634
solar,total,2457101.90749,1.0445,120,359.46186
lunar,total,2457117.00097,1.0008,132,194.39895
solar,partial,2457278.78841,0.7875,125,170.18127
lunar,total,2457293.61686,1.2764,137,4.67086
solar,total,2457456.58216,1.0450,130,348.93009
lunar,penumbral,2457470.99191,0.7747,142,183.27801
solar,annular,2457632.88058,0.9736,135,159.35550
lunar,penumbral,2457648.28851,0.9080,147,354.32498
lunar,penumbral,2457795.53128,0.9884,114,142.47618
solar,annular,2457811.12122,0.9922,140,338.19835
lunar,partial,2457973.26502,0.2464,119,315.42609
solar,total,2457987.26852,1.0306,145,148.87911
lunar,total,2458150.06319,1.3155,124,131.61989
solar,partial,2458165.36983,0.5991,150,327.12077
solar,partial,2458312.62657,0.3365,117,110.69601
lunar,total,2458327.34924,1.6087,129,304.74899
solar,partial,2458341.90796,0.7368,155,138.68734
solar,partial,2458489.57127,0.7145,122,285.42666
lunar,total,2458504.71767,1.1953,134,120.85689
solar,total,2458667.30841,1.0459,127,100.63050
lunar,partial,2458681.39716,0.6531,139,294.06427
