# Source: Swiss Ephemeris 2.10.03 (libswisseph-sys 0.1.2), swe_calc, iflag=1588 (SEFLG_MOSEPH|SEFLG_J2000|SEFLG_TRUEPOS|SEFLG_NOABERR|SEFLG_NOGDEFL).
# Fictitious (hypothetical) bodies, SE numbers 40..=58 (SE_FICT_OFFSET_1 + 1..=19). Elements read from the committed data/seorbel.txt (SE's built-in fallback only covers 40-54; 55-58 require this file). Geocentric J2000-ecliptic lon/lat (degrees) and distance (AU), GEOMETRIC (no light-time, no aberration, no gravitational deflection) — matches FictitiousBackend::position's geocentric-J2000 boundary. Times are TT (Terrestrial Time) Julian days, evenly sampled per body across the 1900-2100 CE window (JD 2415020.5..=2488069.5).
label,se_body,jd_tt,lon_deg,lat_deg,dist_au
Hades,41,2452804.465517242,82.039913634,-1.003092411,51.764308977
Hades,41,2455323.396551724,88.129623504,-0.981098698,51.504321543
Hades,41,2457842.327586207,94.626788096,-0.952308124,50.836494640
Hades,41,2460361.258620690,101.757942747,-0.909598060,50.129146323
Hades,41,2462880.189655173,109.393300656,-0.845956293,49.801284462
Hades,41,2465399.120689655,117.067132550,-0.760274579,50.059821872
Hades,41,2467918.051724138,124.282956551,-0.659062483,50.748499536
Hades,41,2470436.982758621,130.852682489,-0.551055717,51.459571619
Hades,41,2472955.913793103,136.963696821,-0.441377916,51.799710204
Hades,41,2475474.844827586,143.019294501,-0.330305572,51.594847389
Hades,41,2477993.775862069,149.437261666,-0.215361230,50.954814444
Hades,41,2480512.706896552,156.467087521,-0.094485870,50.218613925
Hades,41,2483031.637931034,164.039452240,0.031236286,49.796723735
Hades,41,2485550.568965517,171.746611516,0.156870045,49.941674066
Hades,41,2488069.500000000,179.075325680,0.276831649,50.569537416
Zeus,42,2415020.500000000,105.668346906,0.012233759,58.302270902
Zeus,42,2417539.431034483,111.752473364,0.011689428,58.628360501
Zeus,42,2420058.362068966,117.433371405,0.011057391,59.317805707
Zeus,42,2422577.293103448,122.598307507,0.010359581,59.989539904
Zeus,42,2425096.224137931,127.410444499,0.009626054,60.297066092
Zeus,42,2427615.155172414,132.187642227,0.008820975,60.093085431
Zeus,42,2430134.086206897,137.256472311,0.007936366,59.479839419
Zeus,42,2432653.017241379,142.815990224,0.006933606,58.763595213
Zeus,42,2435171.948275862,148.824611293,0.005808853,58.322121263
Zeus,42,2437690.879310345,154.978762387,0.004602365,58.406049234
Zeus,42,2440209.810344827,160.872032074,0.003361520,58.973375387
Zeus,42,2442728.741379310,166.256477067,0.002150516,59.702736645
Zeus,42,2445247.672413793,171.182434388,0.000945748,60.194219501
Zeus,42,2447766.603448276,175.931753329,-0.000254311,60.196052199
Zeus,42,2450285.534482758,180.854046403,-0.001486286,59.714666223
Zeus,42,2452804.465517242,186.212322571,-0.002748137,58.993123432
Zeus,42,2455323.396551724,192.064301559,-0.004000964,58.397251396
Zeus,42,2457842.327586207,198.208986472,-0.005192001,58.243340783
Zeus,42,2460361.258620690,204.265945406,-0.006251132,58.622593029
Zeus,42,2462880.189655173,209.894048632,-0.007203923,59.328663635
Zeus,42,2465399.120689655,215.002327385,-0.008086665,59.968601948
Zeus,42,2467918.051724138,219.787367051,-0.008981787,60.193836833
Zeus,42,2470436.982758621,224.602147257,-0.009910661,59.890430114
Zeus,42,2472955.913793103,229.772497318,-0.010846599,59.221116562
Zeus,42,2475474.844827586,235.447542055,-0.011705441,58.530149185
Zeus,42,2477993.775862069,241.521381640,-0.012348266,58.173771131
Zeus,42,2480512.706896552,247.668886022,-0.012713585,58.341137380
Zeus,42,2483031.637931034,253.514721461,-0.012801612,58.947042188
Zeus,42,2485550.568965517,258.848856815,-0.012736203,59.665422633
Zeus,42,2488069.500000000,263.743789024,-0.012645506,60.104705739
Kronos,43,2415020.500000000,18.503006199,0.005186812,64.884652959
Kronos,43,2417539.431034483,23.538772778,0.006229112,64.249016169
Kronos,43,2420058.362068966,28.879200327,0.007276391,64.020579279
Kronos,43,2422577.293103448,34.191377237,0.008228246,64.314812448
Kronos,43,2425096.224137931,39.172142983,0.009049820,64.965561423
Kronos,43,2427615.155172414,43.709255425,0.009728512,65.637156455
Kronos,43,2430134.086206897,47.909127459,0.010331924,65.998162428
Kronos,43,2432653.017241379,52.028978743,0.010903870,65.868120555
Kronos,43,2435171.948275862,56.369180194,0.011474278,65.298481062
Kronos,43,2437690.879310345,61.142628393,0.012032313,64.567926609
Kronos,43,2440209.810344827,66.346320026,0.012505183,64.059843391
Kronos,43,2442728.741379310,71.729727002,0.012838707,64.047843826
Kronos,43,2445247.672413793,76.936978115,0.012977910,64.526780977
Kronos,43,2447766.603448276,81.728422382,0.012978699,65.226930250
Kronos,43,2450285.534482758,86.097295440,0.012899149,65.783570481
Kronos,43,2452804.465517242,90.236732838,0.012803182,65.921217888
Kronos,43,2455323.396551724,94.436478864,0.012720515,65.566783602
Kronos,43,2457842.327586207,98.966494420,0.012623741,64.879572386
Kronos,43,2460361.258620690,103.955136191,0.012467327,64.195315083
Kronos,43,2462880.189655173,109.294107739,0.012148749,63.872155564
Kronos,43,2465399.120689655,114.665312845,0.011637561,64.083647339
Kronos,43,2467918.051724138,119.729568779,0.010940877,64.702738735
Kronos,43,2470436.982758621,124.336753733,0.010140892,65.384323022
Kronos,43,2472955.913793103,128.584331960,0.009310438,65.773102247
Kronos,43,2475474.844827586,132.732086836,0.008491336,65.677468734
Kronos,43,2477993.775862069,137.075975012,0.007714504,65.139413878
Kronos,43,2480512.706896552,141.828923093,0.006943423,64.411317725
Kronos,43,2483031.637931034,147.017561103,0.006149232,63.852495415
Kronos,43,2485550.568965517,152.435070870,0.005271514,63.757539560
Kronos,43,2488069.500000000,157.730228201,0.004292291,64.179380516
Apollon,44,2415020.500000000,139.948476361,0.007525337,69.526232035
Apollon,44,2417539.431034483,144.458152102,0.006671249,70.145154222
Apollon,44,2420058.362068966,148.552008730,0.005856239,70.843969981
Apollon,44,2422577.293103448,152.307057284,0.005058103,71.268830702
Apollon,44,2425096.224137931,155.955012051,0.004256116,71.221003303
Apollon,44,2427615.155172414,159.762958190,0.003393553,70.730842625
Apollon,44,2430134.086206897,163.925940764,0.002465958,70.032175093
Apollon,44,2432653.017241379,168.480756370,0.001469431,69.463925591
Apollon,44,2435171.948275862,173.267170021,0.000440090,69.318477572
Apollon,44,2437690.879310345,177.987190185,-0.000566697,69.682483584
Apollon,44,2440209.810344827,182.370539171,-0.001526569,70.369138785
Apollon,44,2442728.741379310,186.335598161,-0.002425582,71.017523071
Apollon,44,2445247.672413793,190.021083164,-0.003318606,71.298965494
Apollon,44,2447766.603448276,193.691624647,-0.004219607,71.084185733
Apollon,44,2450285.534482758,197.606245861,-0.005150064,70.486193119
Apollon,44,2452804.465517242,201.910293964,-0.006086887,69.794952920
Apollon,44,2455323.396551724,206.568402418,-0.006979047,69.347807623
Apollon,44,2457842.327586207,211.364033854,-0.007781688,69.374457221
Apollon,44,2460361.258620690,215.996105455,-0.008455982,69.871761741
